0.115,0.153,1.009,0.745
0.115,0.149,1.075,0.715
0.116,0.149,1.058,0.73
0.118,0.155,1.003,0.725
0.119,0.143,1.013,0.735
0.119,0.164,1.0,0.735
0.121,0.146,1.007,0.755
0.121,0.15,1.005,0.735
0.124,0.154,1.002,0.68
0.125,0.161,1.001,0.66
0.126,0.153,1.004,0.73
0.128,0.144,1.006,0.745
0.129,0.153,1.003,0.705
0.129,0.135,1.022,0.685
0.13,0.151,1.0,0.74
0.131,0.141,1.015,0.685
0.131,0.146,1.002,0.7
0.133,0.133,1.048,0.715
0.133,0.14,1.008,0.68
0.134,0.141,1.005,0.7
0.135,0.138,1.002,0.68
0.136,0.138,1.001,0.67
0.138,0.135,1.009,0.715
0.138,0.134,1.043,0.68
0.14,0.131,1.004,0.715
0.141,0.131,1.001,0.715
0.144,0.13,1.173,0.72
0.145,0.129,1.008,0.72
0.145,0.126,1.021,0.715
0.148,0.128,1.001,0.725
0.149,0.125,1.03,0.725
0.15,0.124,1.007,0.735
0.151,0.123,1.01,0.735
0.154,0.118,1.183,0.72
0.156,0.12,1.091,0.705
0.158,0.119,1.011,0.685
0.158,0.115,1.03,0.73
0.158,0.126,1.002,0.67
0.16,0.12,1.004,0.685
0.16,0.113,1.024,0.73
0.163,0.114,1.01,0.71
0.164,0.118,1.001,0.69
0.164,0.108,1.015,0.72
0.165,0.116,1.002,0.685
0.166,0.113,1.009,0.7
0.168,0.113,1.006,0.7
0.168,0.106,1.111,0.73
0.169,0.111,1.003,0.7
0.17,0.114,1.0,0.69
0.173,0.11,1.007,0.725
0.175,0.11,1.001,0.685
0.176,0.1,1.012,0.725
0.178,0.098,1.009,0.725
0.179,0.104,1.006,0.74
0.18,0.103,1.003,0.74
0.181,0.105,1.0,0.74
0.185,0.096,1.064,0.725
0.186,0.096,1.061,0.72
0.188,0.103,1.002,0.715
0.189,0.098,1.005,0.695
0.194,0.1,1.003,0.72
0.196,0.096,1.02,0.685
0.198,0.101,1.002,0.675
0.199,0.094,1.013,0.695
0.199,0.09,1.061,0.685
0.199,0.099,1.002,0.715
0.2,0.093,1.034,0.705
0.2,0.094,1.01,0.675
0.201,0.091,1.007,0.69
0.201,0.088,1.038,0.685
0.203,0.09,1.003,0.685
0.204,0.093,1.0,0.69
0.21,0.088,1.016,0.69
0.21,0.09,1.001,0.725
0.211,0.084,1.05,0.67
0.211,0.086,1.02,0.68
0.211,0.089,1.01,0.675
0.214,0.086,1.004,0.67
0.215,0.091,1.0,0.675
0.219,0.084,1.005,0.67
0.219,0.083,1.041,0.69
0.221,0.083,1.017,0.69
0.221,0.088,1.001,0.68
0.223,0.078,1.13,0.7
0.226,0.083,1.0,0.655
0.226,0.08,1.032,0.665
0.228,0.078,1.045,0.665
0.229,0.081,1.022,0.695
0.23,0.075,1.038,0.66
0.231,0.078,1.018,0.68
0.234,0.078,1.005,0.68
0.235,0.073,1.04,0.705
0.236,0.08,1.004,0.67
0.236,0.075,1.02,0.66
0.238,0.074,1.017,0.655
