0.048,0.218,4.0E-5,0.75
0.049,0.22,3.0E-5,0.745
0.05,0.218,2.0E-5,0.74
0.05,0.22,1.0E-5,0.665
0.051,0.22,0.0,0.73
0.051,0.215,2.0E-5,0.745
0.053,0.211,2.0E-5,0.745
0.053,0.216,1.0E-5,0.765
0.054,0.209,3.0E-5,0.75
0.055,0.21,0.0,0.735
0.06,0.203,7.0E-5,0.7
0.06,0.209,1.0E-5,0.67
0.063,0.208,0.0,0.725
0.065,0.203,3.0E-5,0.735
0.065,0.206,1.0E-5,0.735
0.066,0.206,0.0,0.685
0.066,0.204,2.0E-5,0.74
0.068,0.203,1.0E-5,0.75
0.068,0.205,0.0,0.67
0.07,0.204,0.0,0.74
0.071,0.196,2.5E-4,0.71
0.071,0.199,0.0,0.755
0.073,0.198,2.0E-5,0.725
0.073,0.191,1.5E-4,0.705
0.074,0.196,3.0E-5,0.685
0.074,0.19,1.3E-4,0.72
0.075,0.194,4.0E-5,0.71
0.075,0.188,1.0E-4,0.7
0.076,0.193,9.0E-5,0.715
0.078,0.184,1.0E-4,0.705
0.078,0.183,2.3E-4,0.71
0.079,0.188,1.0E-5,0.755
0.079,0.196,0.0,0.63
0.081,0.181,1.8E-4,0.7
0.083,0.191,0.0,0.745
0.084,0.181,1.2E-4,0.705
0.085,0.18,1.4E-4,0.695
0.086,0.183,1.1E-4,0.7
0.088,0.173,4.1E-4,0.695
0.088,0.185,2.0E-5,0.68
0.089,0.178,3.8E-4,0.705
0.09,0.189,0.0,0.725
0.09,0.179,1.9E-4,0.695
0.093,0.17,0.0,0.7
0.095,0.168,2.5E-4,0.72
0.096,0.164,3.3E-4,0.695
0.096,0.165,1.1E-4,0.665
0.098,0.16,5.1E-4,0.715
0.098,0.163,4.6E-4,0.68
0.099,0.161,3.4E-4,0.68
0.099,0.159,4.7E-4,0.71
0.1,0.158,3.5E-4,0.69
0.104,0.16,3.4E-4,0.68
0.106,0.155,3.2E-4,0.67
0.106,0.165,2.0E-5,0.74
0.108,0.155,3.0E-4,0.67
0.109,0.155,8.0E-5,0.685
0.109,0.169,0.0,0.71
0.114,0.161,0.0,0.74
0.115,0.151,3.1E-4,0.68
0.118,0.158,7.0E-5,0.68
0.119,0.155,5.0E-5,0.755
0.121,0.153,9.0E-5,0.665
0.123,0.158,0.0,0.745
0.124,0.15,2.6E-4,0.665
0.125,0.15,2.4E-4,0.665
0.125,0.151,3.0E-5,0.755
0.126,0.154,0.0,0.72
0.128,0.149,4.2E-4,0.685
0.13,0.146,0.0,0.75
0.131,0.145,1.0E-5,0.75
0.134,0.14,1.2E-4,0.71
0.135,0.144,1.0E-5,0.745
0.139,0.14,1.0E-5,0.695
0.14,0.138,1.0E-5,0.755
0.146,0.131,3.2E-4,0.735
0.153,0.126,1.0E-5,0.705
0.154,0.143,0.0,0.72
0.161,0.131,0.0,0.73
0.166,0.124,3.4E-4,0.725
0.17,0.118,4.6E-4,0.685
0.17,0.125,3.1E-4,0.735
0.176,0.123,4.4E-4,0.69
0.179,0.124,1.9E-4,0.715
0.179,0.114,2.1E-4,0.72
0.18,0.124,1.0E-5,0.715
0.18,0.116,6.0E-5,0.73
0.18,0.128,0.0,0.715
0.181,0.121,0.0,0.72
0.183,0.103,1.1E-4,0.705
0.183,0.119,0.0,0.72
0.186,0.108,0.0,0.725
0.188,0.099,2.7E-4,0.715
0.188,0.104,0.0,0.735
0.198,0.101,2.0E-5,0.67
0.208,0.101,1.0E-5,0.705
0.209,0.099,3.0E-5,0.69
0.21,0.098,0.0,0.735
0.211,0.091,1.1E-4,0.705
0.213,0.096,1.0E-5,0.71
0.214,0.096,0.0,0.705
0.214,0.086,6.0E-4,0.715
0.215,0.09,1.2E-4,0.7
0.221,0.086,1.3E-4,0.68
0.223,0.084,0.00105,0.71
0.224,0.088,7.0E-5,0.705
0.225,0.081,5.2E-4,0.69
0.228,0.083,5.0E-5,0.69
0.229,0.089,2.0E-5,0.685
