0.249,0.1,1.002,1.001,0.665
0.25,0.085,1.005,1.003,0.66
0.25,0.073,1.084,1.048,0.69
0.253,0.078,1.07,1.04,0.69
0.254,0.078,1.063,1.037,0.69
0.255,0.076,1.056,1.033,0.695
0.255,0.089,1.001,1.001,0.675
0.259,0.065,1.124,1.075,0.675
0.259,0.084,1.008,1.005,0.665
0.26,0.078,1.002,1.001,0.7
0.263,0.076,1.017,1.011,0.695
0.265,0.076,1.005,1.003,0.695
0.266,0.074,1.082,1.052,0.67
0.266,0.076,1.001,1.001,0.695
0.268,0.071,1.076,1.048,0.685
0.269,0.071,1.069,1.044,0.68
0.27,0.074,1.008,1.005,0.65
0.271,0.074,1.002,1.001,0.66
0.271,0.073,1.056,1.037,0.675
0.273,0.07,1.105,1.07,0.67
0.274,0.073,1.017,1.011,0.655
0.275,0.06,1.12,1.081,0.685
0.275,0.071,1.011,1.007,0.65
0.276,0.061,1.086,1.058,0.675
0.276,0.069,1.049,1.031,0.66
0.278,0.08,1.001,1.0,0.67
0.278,0.065,1.052,1.035,0.685
0.28,0.07,1.012,1.008,0.65
0.281,0.06,1.114,1.08,0.685
0.281,0.069,1.018,1.012,0.64
0.281,0.071,1.008,1.006,0.64
0.283,0.071,1.002,1.002,0.68
0.284,0.068,1.03,1.02,0.635
0.286,0.065,1.015,1.01,0.68
0.288,0.065,1.005,1.004,0.675
0.289,0.068,1.0,1.0,0.655
0.29,0.064,1.045,1.032,0.63
0.291,0.064,1.039,1.028,0.655
0.293,0.056,1.008,1.006,0.665
0.299,0.064,1.005,1.004,0.665
0.306,0.053,1.119,1.098,0.665
0.308,0.055,1.089,1.073,0.64
0.314,0.05,1.108,1.093,0.635
0.318,0.049,1.091,1.08,0.635
0.319,0.063,1.007,1.006,0.62
0.32,0.055,1.036,1.03,0.605
0.323,0.045,1.14,1.129,0.64
0.326,0.051,1.076,1.07,0.645
0.328,0.054,1.071,1.065,0.64
0.329,0.044,1.135,1.129,0.655
0.329,0.053,1.066,1.061,0.64
0.33,0.048,1.083,1.078,0.63
0.333,0.046,1.118,1.114,0.64
0.334,0.049,1.021,1.019,0.56
0.334,0.061,1.001,1.001,0.665
0.338,0.046,1.096,1.095,0.64
0.339,0.059,1.003,1.003,0.595
0.341,0.05,1.006,1.006,0.615
0.343,0.041,1.165,1.175,0.635
0.344,0.046,1.092,1.095,0.63
0.344,0.041,1.137,1.144,0.635
0.345,0.041,1.131,1.139,0.635
0.346,0.048,1.025,1.024,0.565
0.346,0.044,1.104,1.109,0.63
0.348,0.04,1.143,1.154,0.635
0.348,0.046,1.03,1.029,0.57
0.349,0.043,1.115,1.124,0.63
0.35,0.055,1.004,1.004,0.605
0.351,0.055,1.001,1.001,0.63
0.353,0.045,1.057,1.06,0.595
0.355,0.038,1.198,1.234,0.635
0.355,0.041,1.068,1.074,0.625
0.358,0.044,1.038,1.041,0.615
0.358,0.041,1.059,1.064,0.625
0.359,0.039,1.16,1.188,0.635
0.359,0.035,1.182,1.217,0.64
0.359,0.045,1.029,1.03,0.56
0.36,0.034,1.176,1.211,0.635
0.361,0.053,1.004,1.004,0.615
